Company name,website,city,segment,what they make,revenue band,C1 Manufacturer,c2 India Based,C3 Diffrentiated,C4 Technical DM ,C5 Growing Sector,C6 Growth Signals,Federer Score,Classification,Verdict,Personalization Hook
Electronet Equipments Pvt Ltd,TBD,Pune,Industrial Sensors,Flow meters and instrumentation,30–100 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,82,A,Strong,Flow measurement systems for industrial automation
SBEM Pvt. Ltd,TBD,Pune,Process Instrumentation,Level measurement systems and industrial control instruments,30–100 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,82,A,Strong,Industrial level measurement instrumentation manufacturer
Pune Techtrol Pvt. Ltd,TBD,Pune,Level Instrumentation,"Level switches, sensors and controllers for process industries",30–100 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,82,A,Strong,Specialist in industrial level sensing solutions
FMS Solution,TBD,Pune,Industrial Sensors,"Pressure, laser, level and photoelectric sensors",30–100 Cr,Strong,Strong,Moderate,Moderate,Strong,Moderate,78,B,Fit,Industrial sensor supplier for automation systems
Micro-Epsilon India,TBD,Pune,Precision Sensors,"High precision displacement, temperature and 3D measurement sensors",100–300 Cr,Strong,Strong,Strong,Strong,Strong,Strong,92,A,Strong,Global precision sensor manufacturer with India operations
Innovare Instruments Pvt Ltd,TBD,Pune,Industrial Instrumentation,Measurement devices and control systems for industry,30–100 Cr,Strong,Strong,Moderate,Moderate,Strong,Moderate,75,B,Fit,Industrial instrumentation and measurement systems provider
Versa Controls Measurement Technologies Pvt Ltd,TBD,Pune,Measurement Systems,Industrial sensors and control systems for automation,30–100 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,80,A,Strong,Process measurement and control technology provider
Manas Microsystems Pvt. Ltd.,TBD,Pune,Industrial Automation,Industrial control systems and automation instrumentation,30–100 Cr,Strong,Strong,Strong,Strong,Strong,Moderate,85,A,Strong,Engineering-led automation and instrumentation company
Klug Avalon Mechatronics Pvt Ltd,TBD,Pune,Mechatronics,Industrial automation and mechatronics-based systems,30–100 Cr,Strong,Strong,Strong,Strong,Strong,Moderate,85,A,Strong,Mechatronics-based industrial automation systems provider
Tau Power Electronics,TBD,Pune,Industrial Electronics,Power electronics and automation control systems,30–100 Cr,Strong,Strong,Moderate,Moderate,Strong,Moderate,75,B,Fit,Industrial power electronics solutions for automation
Ajay Sensors & Instruments,TBD,Pune,Industrial Sensors,"Load cells, pressure, vibration, force sensors and controllers",30–100 Cr,Strong,Strong,Moderate-Strong,Moderate,Strong,Moderate,78,B,Fit,Industrial sensing and calibration systems for engineering industries
PCI Instruments Ltd,TBD,Pune,Process Instrumentation,Industrial analyzers and process monitoring instruments,30–100 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,80,A,Strong,Process instrumentation for industrial monitoring systems
SHRIDHAN Automation India,TBD,Pune,Industrial Automation,Automation systems and industrial control solutions,30–100 Cr,Strong,Strong,Moderate-Strong,Moderate,Strong,Moderate,76,B,Fit,Industrial automation systems for manufacturing industries
Eureka Industrial Equipments Pvt Ltd,TBD,Pune,Industrial Equipment,Industrial sensors and automation equipment,30–100 Cr,Strong,Strong,Moderate,Moderate,Strong,Moderate,74,B,Fit,Industrial automation and equipment manufacturing company
Dispotronics,TBD,Pune,Industrial Electronics,Electronic instrumentation and control systems,Unknown,Strong,Strong,Moderate,Moderate,Strong,Weak-Moderate,70,C,Borderline,Industrial electronics and instrumentation solutions provider
Techno Instruments,TBD,Pune,Measurement Systems,Industrial measurement and control instruments,30–100 Cr,Strong,Strong,Moderate,Moderate,Strong,Moderate,75,B,Fit,Instrumentation systems for industrial applications
Accurate Sensors Technologies,TBD,Pune,Precision Sensors,Industrial high-accuracy sensors and calibration systems,30–100 Cr,Strong,Strong,Strong,Strong,Strong,Moderate,86,A,Strong,Precision sensor manufacturing for industrial automation systems
Control Instruments,TBD,Pune,Process Instrumentation,Industrial process monitoring and control systems,100–300 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,80,A,Strong,Process instrumentation solutions for industries
Pratham Sensors Pvt Ltd,TBD,Pune,Industrial Sensors,"Proximity, level, and pressure sensors for automation",30–100 Cr,Strong,Strong,Moderate-Strong,Moderate,Strong,Moderate,78,B,Fit,Industrial sensor manufacturer for automation systems
Sensors India Pvt Ltd,TBD,Pune,Industrial Sensors,Industrial sensing devices for manufacturing automation,30–100 Cr,Strong,Strong,Moderate,Moderate,Strong,Moderate,75,B,Fit,Industrial sensing solutions provider
Innoventive Industries,TBD,Pune,Industrial Engineering / Automation,Industrial process equipment and automation systems,100–300 Cr,Strong,Strong,Moderate,Moderate,Strong,Moderate,76,B,Fit,Process engineering and industrial automation equipment manufacturer
Electronet Sensors Division,TBD,Pune,Industrial Sensors,"Advanced flow, level and process measurement sensors",30–100 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,82,A,Strong,Industrial measurement instrumentation and sensor systems
Accurate Sensors Technologies,TBD,Pune,Precision Sensors,High accuracy industrial sensing and calibration systems,30–100 Cr,Strong,Strong,Strong,Strong,Strong,Moderate,86,A,Strong,Precision industrial sensors for automation and control
Control Instruments,TBD,Pune,Process Instrumentation,Industrial process monitoring and control systems,100–300 Cr,Strong,Strong,Strong,Moderate,Strong,Moderate,80,A,Strong,Process instrumentation systems for industrial applications
Automation Engineers Pvt Ltd,TBD,Pune,Industrial Automation,Custom automation systems and control engineering solutions,30–100 Cr,Strong,Strong,Moderate-Strong,Moderate,Strong,Moderate,78,B,Fit,Custom industrial automation solutions for manufacturing sector